,English, Odia
Controversy,ବିବାଦୀୟ ବ୍ୟକ୍ତିତ୍ବ 
Major cities on/off NH 19,ଜାତୀୟ ରାଜପଥ ରେ ରହିଥିବା / ନିକଟରେ ଥିବା ମୁଖ୍ୟ ସହର ସମୂହ 
National Highway 19 (India),ଜାତୀୟ ରାଜପଥ 19 (ଭାରତ )
Delhi Noida Direct Flyway,ଦିଲ୍ଲୀ - ନୋଇଡା ଫ୍ଲାଇ ୱେ 
National Highway 1,ଜାତୀୟ ରାଜପଥ 1 
National Highway 2,ଜାତୀୟ ରାଜପଥ 2 
Highways passing from Delhi,ଦିଲ୍ଲୀ ଦେଇ ଯାଇଥିବା ରାଜପଥ ସମୂହ 
National Highway 8,ଜାତୀୟ ରାଜପଥ 8 
National Highway 10,ଜାତୀୟ ରାଜପଥ 10 
National Highway 24,ଜାତୀୟ ରାଜପଥ 24 
Men's cricket,ପୁରୁଷ କ୍ରିକେଟ ( ନୋଟ )
Test match captains,ଟେଷ୍ଟ ମେଚ ଅଧିନାଯକ ସମୂହ 
Women's cricket,ମହିଳା କ୍ରିକେଟ 
Youth cricket,ଯୁବ କ୍ରିକେଟ 
Rishabh Pant,ରିଷଭ ପନ୍ତ
Commemoration,ସମ୍ମାନ 
Narrative,ଭ୍ରମଣ ବର୍ଣନା 
Travels of Marco Polo,ମାର୍କୋ ପୋଲୋ ଙ୍କ ଭ୍ରମଣ 
Map of Marco Polo's travels,ମରକୋ ପୋଲୋ ଙ୍କ ଭ୍ରମଣ ମାନଚିତ୍ର 
A miniature from Il Milione.,ମିଲୋନେII ର ଏକ  ଅଙ୍କିତ ଚିତ୍ର .
Myth,କିମ୍ବଦନ୍ତୀ 
Mahabhairav Temple,ମହାଭୈରବ ମନ୍ଦିର 
Special Feature,ସ୍ଵତନ୍ତ୍ରତା 
Chakreshvari Siva Temple,"ଚକ୍ରେଶ୍ଵରୀ ଶିବ ମନ୍ଦିର , ଭୁବନେଶ୍ବର"
Detail of a gopuram at Chennai,ଚେନ୍ନଇ ଠାରେ ମନ୍ଦିର ର ଗୋପୁରମ ରେ ଥିବା ସ୍ଥପତ୍ୟ କଳା 
Approach,ଅବସ୍ଥିତି 
Surrounding,ଅବସ୍ଥିତି 
Tradition & legends,ପ୍ରବାଦ 
Bata Mahadeva,"ବାଟ ମହାଦେବ , ଭୁବନେଶ୍ବର"
Shopping Malls,ଶପିଙ୍ଗ ମଲ 
Shivaji Place,ଶିବାଜୀ ପ୍ଲେସ
Exits,ନିର୍ଗମ ରାସ୍ତା ସମୂହ 
Autobiographical elements,ଆତ୍ମଜୀବନୀ ମୂଳକ ଚରିତ୍ର 
Characters, ଚରିତ୍ର ଚିତ୍ରଣ 
Early years,ପ୍ରାରମ୍ଭିକ ଜୀବନ 
Farewell readings,ବିଦାୟକାଳୀନ ବକୃତା 
Influence and legacy,ପରବର୍ତୀ କଳା ରେ ପ୍ରଭାବ 
Journalism and early novels,ସମ୍ବାଦିକତା ଓ ପ୍ରାରମ୍ଭିକ ଉପନ୍ୟାସ ସବୁ 
Last years,ଅନ୍ତିମ ଜୀବନକାଳ 
Literary style,ସାହିତ୍ୟିକ ଶୈଳୀ 
Middle years,ମାଧ୍ୟମ କାଳ 
Notable works,ମୁଖ୍ୟ ସାହିତ୍ୟିକ କୃତି ସମୂହ 
Religious views,ଧାର୍ମିକ ଦୃଷ୍ଟିକୋଣ 
Social commentary,ସାମାଜିକ ବକ୍ତବ୍ୟ 
"Ellen Ternan, 1858",୧୮୫୮ ମସିହା ଅଙ୍କିତ ଚିତ୍ର ରେ ଏଲେନ ତେରନାନ 
At his desk in 1858,୧୮୫୮ ରେ ଡିକେନ୍ସ 
Age of Radhanath,ରାଧାନାଥ ଯୁଗ 
Age of Sarala Yuga,ସାରଳା ଯୁଗ କାଳୀନ 
Age of Upendra Bhanja,ଉପେନ୍ଦ୍ର ଭଞ୍ଜ ଯୁଗ କାଳୀନ 
Children's literature,ଶିଶୁ ସାହିତ୍ୟ
Drama/Plays,ନାଟକ 
Novelists,ଉପନ୍ୟାସକାର 
Popular science,ଜନପ୍ରିୟ ବିଜ୍ଞାନ 
Post Colonial Age,ଉପନିବେଶ ଉପରନ୍ତ ଯୁଗ 
Short Story,କ୍ଷୁଦ୍ର ଗଳ୍ପ 
Women's Writings and Feminism,ମହିଳା ଲେଖିକା  
Amrutesvara temple,ଅମୃତେଶ୍ଵର ମନ୍ଦିର
Cinemas,ସିନେମା ଘର 
Delhi blasts,ଦିଲ୍ଲୀ ବିସ୍ଫୋରଣ 
Films,ଫିଲ୍ମ  ରେ 
National flag at Central Park,କେନ୍ଦ୍ର ପାର୍କ ରେ ଜାତୀୟ ପତାକା 
Picture gallery,ଚିତ୍ର ଗେଲେରୀ 
Redevelopment plans,ପୁନଃ -ଉନ୍ନୟନ ଯୋଜନା ସବୁ 
Schools In Paonta Sahib,"ଏଠାରେ ଯଥେଷ୍ଟ ସଂଖ୍ୟକ ହାଇ ସ୍କୁଲ , ବେସରକାରୀ ଇଂରେଜୀ ମିଡିଆମ ସ୍କୁଲ ଗୁଡିକ ରହିଛି । "
General information,ଇତିହାସ ଓ କିମ୍ବଦନ୍ତୀ 
Areas near Nehru Place,ନେହେରୁ ପ୍ଲେସ ନିକଟସ୍ଥ ଅଞ୍ଚଳ ସମୂହ 
External links--,ବାହ୍ୟ ସଂଯୋଗ 
Location and accessibility,ଅବସ୍ଥିତି ଓ ଯାତାୟାତ 
Other Areas In South Delhi,ଦକ୍ଷିଣ ଦିଲ୍ଲୀ ର ଅନ୍ୟ ଅଞ୍ଚଳ ସବୁ 
Real estate,ସ୍ଥାୟୀ ଭୂସମ୍ପତ୍ତି ଓ ବ୍ୟବସାୟ ପ୍ରତିଷ୍ଠାନ 
Status,ଇତିହାସ
The Open content logo,ଦି ଓପନ କଣ୍ଟେଣ୍ଟ ଲୋଗୋ
The Open Definition,ଦି ଓପନ ଡେଫିନେସନ
Professional councils,ବୃତ୍ତିଗତ ପରିଷଦ 
Insurance Companies Selected,ସମ୍ପୃକ୍ତ ବୀମା କମ୍ପାନୀ ଗୁଡିକ 
Ration cards,ରେସନ କାର୍ଡ 
Trophy,ଟ୍ରଫି 
Results,ଫଳାଫଳ ସମୂହ 
Courses,ପାଠ୍ୟକ୍ରମ 
Details,ବିଶଦ ବର୍ଣନା 
Major events,ମୁଖ୍ୟ ଘଟନା ବଳି 
"Marine Drive, Mumbai","ମାରୀନ୍ ଡ୍ରାଇଭ , ମୁମ୍ବାଇ"
Places to Visit,ଦର୍ଶନୀୟ ସ୍ଥଳ ସବୁ 
Jyotir Math monastery,ଜ୍ୟୋତିର୍ମଠ ଆସ୍ଥାନ ପୀଠ 
Bhavnath Mahadev Temple,ଭାବନାଥ ମହାଦେବ ମନ୍ଦିର 
Girnar Mountain,ଗିରିନାର ପର୍ବତ 
Regional versions,ଆଞ୍ଚଳିକ ଭାଷା ରେ ରାମାୟଣ 
Versions outside India,ଭାରତ ବାହାରେ ରାମାୟଣ 
Contemporary versions,ସମସାମୟିକ ଗଦ୍ୟ ରାମାୟଣ 
Screen,ପରଦା ରେ ଉପସ୍ଥାପିତ ରାମାୟଣ 
Stage,ମଞ୍ଚ ରେ ପ୍ରଦର୍ଶିତ ରାମାୟଣ 
Comic series,କାର୍ତୂନ ଚିତ୍ର ଧାରାବାହିକ ରେ ରାମାୟଣ 
Sanskrit versions,ସଂସ୍କୃତ ରାମାୟଣ ସବୁ 
East Asia,ପୂର୍ବ ଏସିଆ 
West Asia,ପଶ୍ଚିମ ଏସିଆ 
Versions of Ramayana,"ରାମାୟଣ, ଭିନ୍ନ ଭାଷା ଓ ପ୍ରକାରଭେଦ  ରେ"
Work,କାର୍ଯ୍ୟ 
Novels,ଉପନ୍ୟାସ 
Children's book,ଶିଶୁ ସାହିତ୍ୟ 
Non-fiction,ଅଣ କାଳ୍ପନିକ ଲେଖା 
Awards and honours,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
Journalistic career,ପତ୍ରକାର ଜୀବନ 
Selected works,ବଛା ଲେଖା ସବୁ 
Freedom struggle: early days,ସ୍ଵାଧୀନତା ସଂଗ୍ରାମ ରେ ଅଂଶ ଗ୍ରହଣ  : ପ୍ରାରମ୍ଭିକ ସ୍ତର 
Face of Quit India movement,ଭାରତ ଛାଡ ଆନ୍ଦୋଳନ ରେ ଅଗ୍ରଣୀ ଭୂମିକା 
Countdown to Independence,ସ୍ଵାଧୀନତା ର ଅବଗଣନା 
Post-Independence,ସ୍ଵାଧୀନତା ପରବର୍ତୀ କାଳ 
Aruna Asaf Ali,ଅରୁଣା ଆସଫ୍ ଅଲ୍ଲୀ
Post-independence,ସ୍ଵାଧୀନତା ପରବର୍ତୀ କାଳ 
Sucheta Kriplani,ସୁଚେତା କୃପାଲାନି
Sarla Thakral,"ସରଲା ଠକ୍କ୍ରାଲ୍, ପ୍ରଥମ ଭାରତୀୟ ମହିଳା ପାଇଲଟ୍"
Savitribai Phule," ସାବିତ୍ରୀବାଇ ଫୁଲେ, ପ୍ରଥମ ଭାରତୀୟ ମହିଳା ଶିକ୍ଷୟତ୍ରୀ"
Awards and distinctions,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
Swimming career,ସନ୍ତରଣ ଜୀବନୀ 
Karuvaki,କାରୁବାକି
Surekha,"ସୁରେଖା , ଭିଡିଓ ଚିତ୍ରକଳାକାର "
Professional life,କାର୍ଯ୍ୟ ଜୀବନ 
Achievements,କୃତିତ୍ଵ 
Rathika Ramasamy,"ରଥିକା ରାମସାମୀ , ବନ୍ୟପ୍ରାଣୀ ଫୋଟୋଗ୍ରାଫର"
Ketaki Pimpalkhare,କେତକୀ ପିମ୍ପଲଖାରେ
International competitions,ଆନ୍ତର୍ଜାତିକ ପ୍ରଦର୍ଶନ 
Geeta Zutshi,ଗୀତା ଜୁତସୀ
Awards and Honors,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
YouTube,ଇଉ ଟିଉବ ରେ ତାଙ୍କର ଫୋଟୋ ର ଭିଡିଓ ସବୁ 
Early life and background,ପ୍ରାରମ୍ଭିକ ଜୀବନୀ 
Dayanita Singh,"ଦୟନିତା ସିଂହ , ଫୋଟୋଗ୍ରାଫର"
Personal life and other works,ବ୍ୟକ୍ତିଗତ ଜୀବନ ଓ ଅନ୍ୟ ସମାଜସେବା କାର୍ଯ୍ୟ 
Training background,ପ୍ରଶିକ୍ଷଣ ଓ ଖେଳ ଜୀବନ 
Career highlights,ଖେଳ ଜୀବନୀ 
Retirement,ଅବସର ଓ କୋଚିଙ୍ଗ 
Awards and achievements,ପୁରସ୍କାର ଓ ସମ୍ମାନ ସମୂହ 
Harika Dronavalli,ଦ୍ରୋଣାବଳୀ
Movements and ideologies,ଆନ୍ଦୋଳନ ଓ ବିଚାରଧାରା 
Shanti Tigga,ଶାନ୍ତି ଟୀଗା
Anjali Menon,ଅଞ୍ଜଳୀ ମେନନ୍
Kalpana Lajmi,କଲ୍ପନା ଲାଜମି 
Television career,ଟେଲିଭିଜନ କାର୍ଯ୍ୟ 
Swapna Patker as Producer,ଫିଲ୍ମ ନିର୍ମାତ୍ରୀ ସ୍ଵପ୍ନା
Swapna Patker as Hotelier,ସ୍ଵପ୍ନା ଙ୍କ ଅନ୍ୟ ବ୍ୟବସାୟ 
Swapna Patker,ସ୍ଵପ୍ନା ପାଟକର
Dola Banerjee,ଡୋଳା ବାନାର୍ଜୀ
International,ଆନ୍ତର୍ଜାତିକ 
National,ଜାତୀୟ 
Doping,ନିଶା ଔଷଧ ସେବନ 
Singles Finals: 16 (9–7),ସିଙ୍ଗଲ୍ସ ଫାଇନାଲ ଅବଦାନ ୧୬ ( ୯-୭ )
Doubles Finals: 15 (8–7),ଦବାଲ୍ସ ଫାଇନାଲ ଅବଦାନ :୧୫ (୮-୭) 
2013 Wrestling World Cup,2013 ବିଶ୍ଵ କୁସ୍ତି କପ 
2014 Commonwealth Games,2014 କମନୱେୟାଲ୍ଥ ଗେମ 
Pro Wrestling League, ଭାରତ ରେ ହେଇଥିବା ପ୍ରୋ- କୁସ୍ତି ଌଗ ରେ ସେ ବାଙ୍ଗାଲୋର ତରଫ ରୁ ଭାଗ ନେଇଥିଲେ । 
Meena Kumari (sport shooter),ମିନା କୁମାରୀ (ଶୁଟିଙ୍ଗ )
Personal life and family,ବ୍ୟକ୍ତିଗତ ଜୀବନ 
Other titles,ଅନ୍ୟ ଉପାଧି ସବୁ 
Manika Batra,ମାଣିକା ବାତ୍ରା
Other Important Informations,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
Lilima Minz,ଲିଳିମା ମିଞ୍ଜ
Sayali Gokhale,ଶୟାଲୀ ଗୋଖଲେ
ISSF World Medal Tally,ତାଙ୍କର ବିଶ୍ଵ ସ୍ତରୀୟ ପଦକ ତାଲିକା 
Apurvi Chandela,ଅପୁର୍ଭି  ଚନ୍ଦେଲା
Early life and junior career,ପ୍ରାରମ୍ଭିକ ଜୀବନୀ 
Bio,ସଂକ୍ଷିପ୍ତ ଜୀବନୀ 
Ashwini Akkunji,ଅଶ୍ଵିନୀ ଆକୁଞ୍ଜି
Professional athletics career,ପେଷାଦାର କ୍ରୀଡାବିଦ ଜୀବନ 
Olympics,ଅଲିମ୍ପିକ 
Asian games,ଏସୀୟ କ୍ରିଡା ଅବଦାନ 
Manjeet Kaur,ମନଜିତ କୌର
Arjuna Award - 2014[12],ଅର୍ଜୁନ ପୁରସ୍କାର - ୨୦୧୪ [12]
Awards and medals,ପୁରସ୍କାର ଓ ସମ୍ମାନ 
Gobi desert walk,ଗୋବୀ ମରୁଭୁମି ପଦଯାତ୍ରା 
Childhood and early training,ବାଲ୍ୟକାଳ ଓ ଟ୍ରେନିଂ 
2012 Summer Olympics,୨୦୧୨ ଗ୍ରୀଷ୍ମ କାଳୀନ ଅଲିମ୍ପିକ 
Profile,ଜୀବନୀ 
Harwant Kaur,ହରୱନ୍ତ କୌର
Early Life,ପ୍ରାରମ୍ଭିକ ଜୀବନୀ 
Arjuna Award - 2012[14],ଅର୍ଜୁନ ପୁରସ୍କାର - ୨୦୧୨ ରେ  [14]
Bombayla Devi Laishram,ବୋମ୍ବୟଲା ଦେବୀ ଲାଇଶ୍ରାମ 
Purnima Mahato,ପୁର୍ଣିମା ମାହାତୋ
Antara Kak,ଅନ୍ତରା କାକ୍
As Actor,ଅଭିନୟ 
As Director,ନିର୍ଦେଶକ ଭାବରେ 
Notable filmography,ବିଶିଷ୍ଟ ଫିଲ୍ମ  ସମୂହ ( ଅଭିନୟ ) 
Acting,ଅଭିନୟ 
Directing,ନିର୍ଦେଶନା 
Cannes Film Festival,କାନନେସ ଫିଲ୍ମ ଉତଶବ 
Rajni Basumatary,ରଜନୀ ବସୁମାତାରୀ
Bhavna Talwar,ଭାବନା ତଲୱାର୍
As producer,ନିର୍ମାଣ 
For films,ଫିଲ୍ମ 
For TV shows,ଟେଲିଭିଜନ ଶୋ
As writer,ଲେଖକ 
As editor,ସମ୍ପାଦକ 
Malayalam,ମାଳୟାଲାମ 
Tamil,ତାମିଲ 
Director,ନିର୍ଦେଶନ 
Selected filmography,ଫିଲ୍ମୋଗ୍ରାଫି ( ମୁଖ୍ୟ ଫିଲ୍ମ ସବୁ )
Actress,ଅଭିନେତ୍ରୀ ଭାବରେ 
Telugu,ତେଲୁଗୁ 
Assistant Director,ସହ ନିର୍ଦେଶନା 
Story Writer,ଗଳ୍ପ ଲେଖିକା 
Screenplay Writer,ଚିତ୍ର ନାଟ୍ଯ ଲେଖିକା 
Directorial career,ନିର୍ଦେଶିକା ଭାବରେ 
As an Actress,ଅଭିନେତ୍ରୀ   
Reema Kagti,ରିମା କାଗତି 
Revathy S. Varmha,ରେଭଥୀ ଭରମ୍ହା
Early life and family,ବ୍ୟକ୍ତିଗତ ଜୀବନୀ 
Radha Bharadwaj,ରାଧା ଭରଦ୍ଵାଜ
Rajani Rai,ରଜନୀ ରାଏ 
TV shows,ଟିଭି ଶୋ ସମୂହ 
Activism,ସମାଜ ସେବା କାର୍ଯ୍ୟ 
Edited,ସମ୍ପାଦନା 
Anthologized,ରଚନା ବଳି 
Smita Agarwal,ସ୍ମିତା ଅଗରୱାଳ
English,ଇଂରେଜି 
Hindi,ହିନ୍ଦୀ 
Early life and career,ପ୍ରାରମ୍ଭିକ ଜୀବନୀ ଓ କାର୍ଯ୍ୟ ଅବଦାନ 
Mixed Doubles,ମିକ୍ସ ଦବଲ୍ସ ରେ 
Women's Doubles,ମହିଳା ଦବଲ୍ସ ରେ 
Poetry collections,କବିତା ସଂଗ୍ରହ ସବୁ 
Other historical novels,ଅନ୍ୟ ଏଇତିହାସିକ ଉପନ୍ୟାସ ସବୁ 
Fiction,କାଳ୍ପନିକ ଲେଖା 
Ursula Blanchard mysteries,ଉର୍ଷୁଳା ବ୍ଲନଚାର୍ଡ ଡିଟେକ୍ଟିଭ  ଉପନ୍ୟାସ ସବୁ 
Bridges Over Time series,""" Bridges Over Times "" ସିରିଜ ସବୁ "
Norman series,ନର୍ମାନ ସିରିଜ 
British rule,ବ୍ରିଟିଶ ଶାସନ ସମୟ ରେ ଭାରତୀୟ ମହିଳା 
Independent India,ସ୍ଵାଧୀନ ଭରତ ର ମହିଳା 
Timeline,ସମୟ ରେଖା 
Workforce participation,କର୍ମ କ୍ଷେତ୍ର ରେ ମହିଳା 
Land and property rights,ଭୂମି ଓ ସମ୍ପତି ଅଧିକାର 
Crimes against women,ମହିଳା ଙ୍କ ବିରୁଦ୍ଧ ରେ ଅପରାଧିକ କାର୍ଯ୍ୟ 
Acid throwing,ଏସିଡ ଫିଙ୍ଗା 
Child marriage,ବାଳିକା ବିବାହ 
Domestic violence,ଆବାସିକ ହିଂଶା 
Dowry,ଯୌତୁକ ପ୍ରଥା 
Honor killings,ଅନର କିଲିଙ୍ଗ ( ସମ୍ମାନ ପାଇଁ ହତ୍ୟା ) 
Accusations of witchcraft,ଡାହାଣୀ କାର୍ଯ୍ୟ ପାଇଁ ସନ୍ଦେହ 
Rape,ବଳତ୍କାର ଘଟଣା 
Sexual harassment,ଯୌନ ଶୋଷଣ 
Trafficking,ଦେହ ବ୍ୟାପାର 
Women's rights,ମହିଳାଙ୍କ  ଅଧିକାର 
Other concerns,ଅନ୍ୟ ଚିନ୍ତନ ସବୁ 
Social opinions,ସାମାଜିକ ମତାମତ 
Health,ମହିଳା ଙ୍କ ଶ୍ଵାସ୍ୟ
Family planning,ପରିବାର ନିୟୋଜନ 
Women from lower castes,ଦଳିତ ଶ୍ରେଣୀ ର ମହିଳା 
Sex ratios,ଲିଙ୍ଗା ଅନୁପାତ ଭିନ୍ନତା 
Sanitation,ସ୍ବଚ୍ଛ ପରିମଳ ବ୍ୟବସ୍ଥା 
Ancient India,ପ୍ରାଚୀନ ଭାରତ 
Medieval period,ମଧ୍ୟମ କାଳ 
Historical practices,ଏଇତିହାସିକ ପରମ୍ପରା ସବୁ 
Women in Bihar,ବିହାର ର ମହିଳା 
Women in India,ଭାରତୀୟ ମହିଳା 
Rima Kallingal,ରିମା କଳିଙ୍ଗାଲ 
As playwright,ନାଟ୍ୟଲେଖିକା ଭାବରେ 
As Author and Illustrator,ଲେଖିକା ଓ ଚିତ୍ରକର ଭାବରେ 
As Illustrator,ଚିତ୍ରକାର ଭାବେ 
Comic Strips,କମିକ 
Career & Works,କାର୍ଯ୍ୟ ଜୀବନୀ 
Awards and recognitions,ପୁରସ୍କାର ଓ ସ୍ବୀକୃତିପ୍ରାପ୍ତି 
Books and articles,ପୁସ୍ତକ ଓ ଲେଖା 
Pepita Seth taking photograph,ପେପିତା ଚିତ୍ର ଉତ୍ତୋଳନ କରୁଥିବାର ଚିତ୍ର 
Pepita Seth,ପେପିତା ସେଠ୍
Awards and Nominations,ପୁରସ୍କାର ଓ ମନୋନୟନ 
Koshish,କୋଶିସ୍ ଫିଲ୍ମ 
Bosra,ବୋସରା
Variations,ପ୍ରକାରଭେଦ
Video of making an appam,ଆପ୍ପମ ତିଆରି ଭିଡ଼ିଓ ।
Appam,ଆପ୍ପମ
Controversial comments,ବିବାଦୀୟ ମନ୍ତବ୍ୟ 
TensorFlow,ବ୍ୟବହାରକାରୀ:Th3snehasish/ଟେନସରଫ୍ଳୋ
Layal Abboud,ଲୟଲ ଅବବୋଉ
Champakesvara Siva Temple,ଚମ୍ପକେଶ୍ୱର ଶିବ ମ
Raha niche and parsva devatas,ରାହା ଓ ପ
Special features,ବିଶେଷ 
Photos of the temple,ନାଗେଶ୍ୱର ମନ୍ଦିରର ଫଟୋ
"Nagesvara Temple, Bhubaneswar",ନାଗେଶ୍ୱର ମନ୍ଦିର
Preservation status,ସଂରକ୍ଷଣ
Hashtag activism,ହ୍ୟାସଟ୍ୟାଗ ଅଭିଯାନ
Chintamaniswar Tank,ଚିନ୍ତାମଣିଶ୍ୱର ପୋଖରୀ
Nomenclature and etymology,ନାମ
Hagiographical accounts,କିମ୍ବଦନ୍ତୀ ସାହିତ୍ୟ
Major literary works,ସାହିତ୍ୟ
Luipa,ଲୁଇପା 
Nomenclature,ଶବ୍ଦାବଳୀ
The Golden temple complex map,ସ୍ଵର୍ଣ ମନ୍ଦିର ପରିସର ନକ୍ସା
Golden Temple,ସ୍ଵର୍ଣ ମନ୍ଦିର
Kinship Terminology,ସମ୍ବନ୍ଧସୂଚକ ଶବ୍ଦାବଳୀ
Vocabulary,ଶବ୍ଦାବଳୀ
Benedict Cumberbatch,ବେନେଡିକ୍ଟ କମବେରବଟ୍ଚ
Catherine Zeta-Jones,କାଥେରିନେ ଯେଟ-ଜୋନେସ
Bipasha Basu,ବିପାଶା ବାସୁ
R. Madhavan,ଆର୍. ମାଧବନ
Battle of Thermopylae,ଥର୍ମୋପାୟଲି ଯୁଦ୍ଧ
2009 Election Results,୨୦୦୯ ନିର୍ବାଚନ ଫଳାଫଳ
Elected Members,ନିର୍ବାଚିତ ସଦସ୍ୟଗଣ
Reptile,ବ୍ୟବହାରକାରୀ:Gayatree Tripathy/Reptile
Biology,ଜୈବବୈଜ୍ଞାନିକ ତଥ୍ୟ
In human culture,ମନୁଷ୍ୟ ସଂସ୍କୃତିରେ
Toad,କାଠବେଙ୍ଗ
Addition,ମିଶାଣ
Dwayne Johnson,ଡ୍ୱେନ୍ ଜନ୍ସନ୍
Scarlett Johansson,ସ୍କାରଲେଟ୍ ଜୋହାନ୍ସନ୍
Game of Thrones,ସିଂହାସନର ଖେଳ 
Armaan Malik,ଅରମାନ୍ ମଲିକ୍
Arijit Singh, ଅରିଜିତ୍ ସିଙ୍ଗ୍
Movement,ଗତିବିଧି
Women's health,ବ୍ୟବହାରକାରୀ:Soumendrak/ମହିଳା ସ୍ୱାସ୍ଥ୍ୟ
Waterfalls,ଜଳପ୍ରପାତ
Hot springs,ଉଷ୍ମ ପ୍ରସବଣ
Jain monuments,ଜୈନ ଐତିହାସିକ ସ୍ମାରକୀ
Beaches,ସମୁଦ୍ରତଟ
Scenic spots,ପ୍ରାକୃତିକ ସ୍ଥାନ
Sanctuaries,ପ୍ରାଣୀ ସଂରକ୍ଷଣ ସ୍ଥଳୀ
Major attractions,ମୁଖ୍ୟ ଆକର୍ଷଣମାନ
Lakes,ହ୍ରଦ
Buddhist monuments,ବୌଦ୍ଧ ଐତିହାସିକ ସ୍ମାରକୀ
Chilka Lake,ଚିଲିକା ହ୍ରଦ
Udayagiri and Khandagiri Caves,ଉଦୟଗିରି ଏବଂ ଖଣ୍ଡଗିରି ଗୁମ୍ଫା
Chilika Lake,ଚିଲିକା ହ୍ରଦ
Tourism in Odisha,ଓଡିଶାରେ ପର୍ଯ୍ୟଟନ
16th and 17th centuries,ଷୋଡଶ ଏବଂ ସପ୍ତଦଶ ଶତାବ୍ଦୀରେ
Chinese origins,ଚିନୀୟ ଇତିହାସରେ ପଗ୍
18th century to present day,ଶତାବ୍ଦୀରୁ ଆଜି ପର୍ଯ୍ୟନ୍ତ
Pugs at Curlie (based on DMOZ),ଓପନ ଡାଇରେକ୍ଟୋରି ପ୍ରୋଜେକ୍ଟରେ ଥିବା Pugs Dmoz 1 Recreation/Pets/Dogs/Breeds/Toy_Group/Pug 2 Pugs
Pug,ପଗ୍ (କୁକୁର ପ୍ରଜାତି)
The Epics,ମହାକାବ୍ୟମାନଙ୍କରେ
Buddhism,ବୌଦ୍ଧଧର୍ମରେ ଅହିଂସା
Ahimsa,ଅହିଂସା
Mechanism of function,କାର୍ଯ୍ୟକ୍ରମ ପଦ୍ଧତି 
Vaccination,ଟୀକାକରଣ 
Approaches,ଦ୍ରୁଷ୍ଟିକୋଣ 
Translation process,ଅନୁବାଦ ପ୍ରକ୍ରିୟା 
Machine translation,ବ୍ୟବହାରକାରୀ:Soumendrak/ଯାନ୍ତ୍ରିକ ଅନୁବାଦିକରଣ
Kusunda word list (Wiktionary),Kusunda word list (ଉଇକିଅଭିଧାନ)
Machine learning tasks,ମେସିନ ଲର୍ଣିଂ କାମଗୁଡ଼ିକ 
Definition,ସଂଜ୍ଞା
The Swedish era,ସ୍ଵେଡିସ ଯୁଗ 
The tunnels at Suomenlinna,ସୁଓମେନ୍ଲିନା ର ତନେଲ ପଥ  
City map of Suomenlinna,ସୁଓମେନ୍ଲିନା  ର ମାନଚିତ୍ର  
Guns of Suomenlinna,ସୁଓମେନ୍ଲିନା ର ତୋପ ସବୁ  
Suomenlinna,"ସୁଓମେନ୍ଲିନା ଦ୍ଵିପ , ଫିନଲାଣ୍ଡ"
Stock market,ଶେୟାର ବଜାର 
An uncooked rib roast,ଏକ ରନ୍ଧାଯାଇନଥିବା ପଞ୍ଜରା ମାଂସ
Battlefield,ଯୁଦ୍ଧ ପଡ଼ିଆ 
General references,ସାଧାରଣ ଅଧାର
Criticism of the term,ସମାଲୋଚନା
Pool B,ପୁଲ ବି 
First round,ପ୍ରଥମ ରାଉଣ୍ଡ 
Pool D,ପୁଲ ଡି 
Pool C,ପୁଲ ସି 
Pool A,ପୁଲ ଏ 
Acute lymphoblastic leukemia,ବ୍ୟବହାରକାରୀ:Soumendrak/ଆକ୍ୟୁଟ ଲିମ୍ଫୋବ୍ଲାସ୍ଟିକ ଲିଉକେମିଆ
Signs and symptoms,ରୋଗ ଲକ୍ଷଣ 
Leukorrhea,ବ୍ୟବହାରକାରୀ:Soumendrak/ଲିୟୁକୋରିଆ
Depression (mood),ବ୍ୟବହାରକାରୀ:Soumendrak/ଅବସାଦ (ଭାବ)
Alcohol abuse,ବ୍ୟବହାରକାରୀ:Soumendrak/ମଦ ଦୁରୁପଯୋଗ
Trait,ବିଶେଷତା
Test and performance,ପରୀକ୍ଷଣ ଏବଂ  ପ୍ରଦର୍ଶନ 
Choice or decision,ନିଷ୍ପତି କିମ୍ବା ବିକଳ୍ପ 
Symptoms,ଲକ୍ଷଣ 
Types,ପ୍ରକାର 
Anxiety disorders,ଉଦବେଗ ଜନିତ ଅଵ୍ୟଵସ୍ଥା 
Amount of suffering,କଷ୍ଟର ପରିମାଣ 
Positive emotions,ସକାରାତ୍ମକ ଭାବନା 
Role of the community,ସମାଜର ଭୂମିକା 
Other factors,ଅନ୍ୟାନ୍ୟ କାରଣ 
Children,ଶିଶୁ 
Related factors,ଜଣାଶୁଣା କାରକ
Role of the family,ପରିବାରର ଭୂମିକା 
Building,ଗଢ଼ିବା 
Grit,ଧର୍ଯ୍ୟ 
Building in the classroom,ଶ୍ରେଣୀରେ ଗଢ଼ିବା 
Natural disasters,ପ୍ରାକୃତିକ ବିପର୍ଯ୍ୟାୟ 
Families in poverty,ଗରିବତାରେ ଥିବା ପରିବାର 
Bullying,ଧମକେଇବା 
Process,ପ୍ରକ୍ରିୟା 
